House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Windsor Plaza,Cameron,Johnson-White,37,Head,Married,Male,Landscape architect,None,Christian
1,Windsor Plaza,Katherine,Johnson-White,26,Wife,Married,Female,"Presenter, broadcasting",None,None
1,Windsor Plaza,Jack,Cook,41,Lodger,Divorced,Male,Risk manager,None,Methodist
2,Windsor Plaza,Marie,Allen,44,Head,Single,Female,Midwife,None,Catholic
3,Windsor Plaza,Janice,Harrison,55,Head,Single,Female,Warehouse manager,None,Christian
4,Windsor Plaza,Charlotte,Bishop,63,Head,Divorced,Female,"Education officer, environmental",None,Christian
1,Gracehawk Street,Stephen,Thompson,36,Head,Single,Male,Air broker,None,None
1,Gracehawk Street,Lesley,King,38,Partner,Single,Female,Musician,None,None
2,Gracehawk Street,Graeme,Wilson,57,Head,Single,Male,Commercial horticulturist,None,Christian
3,Gracehawk Street,June,Collins,81,Head,Widowed,Female,Retired Special effects artist,None,Christian
4,Gracehawk Street,Donna,Roberts,79,Head,Widowed,Female,"Retired Engineer, building services",None,None
5,Gracehawk Street,Gemma,Allen,58,Head,Divorced,Female,Software engineer,None,None
6,Gracehawk Street,Antony,Howarth,65,Head,Divorced,Male,"Administrator, education",None,Christian
7,Gracehawk Street,Scott Lee,Page,43,Head,Single,Male,Wellsite geologist,None,Christian
8,Gracehawk Street,Helen,Martin,53,Head,Single,Female,Radio producer,None,None
9,Gracehawk Street,Charlene,Rees,32,Head,Married,Female,"Lecturer, further education",None,None
9,Gracehawk Street,Timothy,Rees,34,Husband,Married,Male,"Psychologist, forensic",None,None
9,Gracehawk Street,Billy,Rees,9,Son,NA,Male,Student,None,NA
10,Gracehawk Street,Nicola,Robinson,20,Head,Divorced,Female,University Student,None,Muslim
11,Gracehawk Street,Hayley,Harris,47,Head,Single,Female,"Editor, magazine features",None,Catholic
11,Gracehawk Street,Danielle,Horton,32,None,Single,Female,"Editor, film/video",None,Christian
12,Gracehawk Street,Lynn,Morgan,34,Head,Single,Female,Corporate treasurer,None,Catholic
13,Gracehawk Street,Guy,James,19,Head,Single,Male,University Student,None,Christian
13,Gracehawk Street,Glenn,White,21,None,Single,Male,University Student,None,None
13,Gracehawk Street,Victor,Lowe,20,None,Single,Male,University Student,None,Methodist
14,Gracehawk Street,Samuel,Howe,45,Head,Single,Male,"Radiographer, therapeutic",None,None
15,Gracehawk Street,Abbie,Jones,77,Head,Widowed,Female,Retired Government social research officer,None,Catholic
16,Gracehawk Street,Holly,Kaur,68,Head,Widowed,Female,Retired Financial trader,None,Christian
17,Gracehawk Street,Hugh,Collins,73,Head,Divorced,Male,Retired Dispensing optician,None,None
18,Gracehawk Street,Sandra,Little,75,Head,Married,Female,Retired Immigration officer,None,Christian
18,Gracehawk Street,Declan,Little,78,Husband,Married,Male,"Retired Designer, graphic",None,Christian
19,Gracehawk Street,Duncan,Ross,54,Head,Single,Male,"Embryologist, clinical",None,Catholic
1,Fisher Ville,Georgina,Wilson,57,Head,Single,Female,"Surveyor, rural practice",None,Christian
2,Fisher Ville,Natalie,Wong,47,Head,Married,Female,Nutritional therapist,None,Methodist
2,Fisher Ville,Louis,Wong,50,Husband,Married,Male,Unemployed,None,Methodist
3,Fisher Ville,Marie,Hicks,73,Head,Married,Female,"Retired Teacher, special educational needs",None,Christian
3,Fisher Ville,Cameron,Hicks,80,Husband,Married,Male,Retired Museum education officer,None,Christian
4,Fisher Ville,Janet,Roberts,75,Head,Divorced,Female,"Retired Programmer, multimedia",None,Christian
4,Fisher Ville,Dennis,Roberts,42,Son,Single,Male,Unemployed,None,None
5,Fisher Ville,Lynn,Davies,26,Head,Widowed,Female,"Administrator, charities/voluntary organisations",None,Sikh
6,Fisher Ville,Paige,Foster,66,Head,Widowed,Female,Astronomer,None,None
6,Fisher Ville,Heather,Foster,23,Daughter,Single,Female,Orthoptist,None,None
6,Fisher Ville,Sean,Foster,19,Son,Single,Male,"Production designer, theatre/television/film",None,None
7,Fisher Ville,Samantha,Walsh,38,Head,Married,Female,Adult guidance worker,None,Christian
7,Fisher Ville,Antony,Walsh,38,Husband,Married,Male,Cartographer,None,Christian
7,Fisher Ville,Bethan,Osborne,24,Lodger,Single,Female,Scientific laboratory technician,None,Catholic
7,Fisher Ville,Tina,Barry,24,Lodger,Divorced,Female,Industrial/product designer,None,Christian
8,Fisher Ville,Richard,Young,70,Head,Married,Male,Retired Corporate treasurer,None,Methodist
8,Fisher Ville,Cheryl,Young,68,Wife,Married,Female,Retired Drilling engineer,None,Methodist
9,Fisher Ville,Shirley,Kennedy,27,Head,Married,Female,Air cabin crew,None,None
9,Fisher Ville,Paul,Kennedy,27,Husband,Married,Male,"Geneticist, molecular",None,None
1,Swift Spur,Samantha,Pickering,76,Head,Married,Female,Retired Haematologist,None,Christian
1,Swift Spur,Ronald,Pickering,79,Husband,Married,Male,Retired Manufacturing systems engineer,None,Christian
1,Swift Spur,Edward,Pickering,35,Son,Single,Male,Unemployed,None,Christian
1,Swift Spur,Eileen,Pickering,29,Daughter,Single,Female,"Civil engineer, consulting",None,Christian
2,Swift Spur,Francis,Gibson,62,Head,Single,Male,"Programmer, multimedia",None,Christian
2,Swift Spur,Dawn,Morgan,27,None,Single,Female,Public librarian,None,None
3,Swift Spur,Victoria,Williams,71,Head,Married,Female,Retired Medical illustrator,None,Christian
3,Swift Spur,Gregory,Williams,75,Husband,Married,Male,Retired Neurosurgeon,None,Christian
3,Swift Spur,Damian,Burke-Williams,46,Son,Single,Male,Estate manager/land agent,None,Christian
3,Swift Spur,Lydia,Burke-Williams,42,Daughter,Single,Female,Health physicist,None,Christian
4,Swift Spur,Janet,Wood,55,Head,Single,Female,Unemployed,None,Christian
4,Swift Spur,Lesley,Wood,30,Daughter,Single,Female,"Conservation officer, historic buildings",None,Christian
4,Swift Spur,Lindsey,Wood,26,Daughter,Single,Female,Charity fundraiser,None,Christian
4,Swift Spur,Yvonne,Wood,20,Daughter,Single,Female,University Student,None,Christian
5,Swift Spur,Grace,Payne,34,Head,Married,Female,Astronomer,None,Methodist
5,Swift Spur,Phillip,Payne,32,Husband,Married,Male,Gaffer,None,Methodist
5,Swift Spur,Tom,Payne,13,Son,NA,Male,Student,None,NA
6,Swift Spur,Melissa,Stevens,47,Head,Married,Female,Geochemist,None,None
6,Swift Spur,Billy,Stevens,47,Husband,Married,Male,"Civil engineer, contracting",None,None
6,Swift Spur,Sylvia,Stevens,21,Daughter,Single,Female,University Student,None,None
6,Swift Spur,Norman,Stevens,20,Son,Divorced,Male,University Student,None,None
7,Swift Spur,Roy,Johnson,61,Head,Single,Male,Hydrogeologist,None,Christian
7,Swift Spur,Teresa,Richards,41,None,Single,Female,Health physicist,None,Catholic
7,Swift Spur,Kayleigh,Johnson,62,None,Single,Female,"Scientist, product/process development",None,Catholic
7,Swift Spur,Mohammad,Reid,37,None,Single,Male,Health and safety adviser,None,Christian
7,Swift Spur,Diane,Marshall,43,None,Single,Female,Adult guidance worker,None,Methodist
8,Swift Spur,Jade,Thompson,34,Head,Single,Female,"Producer, radio",None,None
8,Swift Spur,Hugh,Mitchell,36,Partner,Single,Male,Trade union research officer,None,None
8,Swift Spur,Marie,Thompson,8,Daughter,NA,Female,Student,None,NA
8,Swift Spur,Neil,Thompson,7,Son,NA,Male,Student,None,NA
9,Swift Spur,Robert,Parkin,64,Head,Single,Male,International aid/development worker,None,Christian
